rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
54,Carlos Carrasco,4 Tms,0.3187403993855607,1.322791712,0.217774513,0.445464561,0.336760925,0.087241003,0.151581243,559.0,5.2424454636885685,5319.0,10016.0,15335.0,0.42596645,0.35010941,0.22392414,0.15900802,0.49890591,0.34208607
55,Jordan Montgomery,4 Tms,0.29914529914529914,1.227424749,0.210276679,0.435177865,0.354545454,0.089186176,0.113712374,467.0,4.904317397146142,4847.0,8853.0,13700.0,0.40829097,0.34845522,0.24325381,0.1685569,0.52874462,0.30269847
56,Miles Mikolas,2 Tms,0.2888086642599278,1.255188316,0.210866057,0.439214631,0.349919311,0.09223674,0.122982321,573.0,4.4064369424829515,5978.0,12341.0,18319.0,0.39792388,0.35107799,0.25099814,0.1658238,0.49427735,0.33989886
57,Ranger Suarez,2 Tms,0.3060388945752303,1.724020442,0.195674044,0.509054325,0.295271629,0.085178875,0.105621805,346.0,4.523971153239472,3964.0,6949.0,10913.0,0.41240695,0.35384615,0.2337469,0.17320099,0.53300248,0.29379653
58,Kyle Gibson,5 Tms,0.30491715660074825,1.680494263,0.216460268,0.49122807,0.292311661,0.089143865,0.15357458,784.0,5.444444460469836,8199.0,13036.0,21235.0,0.44469987,0.35862069,0.19667944,0.15376756,0.50319285,0.34303959
59,Merrill Kelly,2 Tms,0.2788289896465548,1.195610687,0.205730065,0.432516396,0.361753538,0.102099236,0.125,534.0,4.741203612424902,5510.0,10295.0,15805.0,0.45134858,0.32843974,0.22021168,0.14339365,0.50017071,0.35643564
60,Shohei Ohtani,2 Tms,0.2709832134292566,1.179916317,0.197226502,0.434514637,0.368258859,0.115062761,0.117154811,279.0,4.593292751372225,3122.0,5595.0,8717.0,0.40842912,0.3348659,0.25670498,0.18544061,0.50344828,0.31111111
61,Matthew Boyd,3 Tms,0.29337539432176657,0.801024765,0.200227531,0.355707243,0.444065225,0.119555935,0.122117847,513.0,4.9752156399500524,5381.0,10037.0,15418.0,0.40665918,0.33520389,0.25813692,0.18443696,0.47287692,0.34268612
62,George Kirby,SEA,0.30175625332623734,1.187845303,0.183084063,0.443527591,0.373388344,0.10359116,0.104972375,364.0,4.882265358976293,3290.0,7148.0,10438.0,0.35465711,0.35823951,0.28710338,0.16223132,0.52047083,0.31729785
63,Mike Clevinger,3 Tms,0.2774869109947644,0.882069795,0.209302325,0.370576339,0.420121334,0.110709987,0.10589651,446.0,5.414568243163523,4470.0,7780.0,12250.0,0.41453634,0.3197995,0.26566416,0.18546366,0.49473684,0.3197995
64,Cristopher Sánchez,PHI,0.30446735395189,2.410764872,0.188132164,0.573836817,0.238031018,0.039660056,0.121813031,279.0,4.7919848900814594,2564.0,5256.0,7820.0,0.41883768,0.36272545,0.21843687,0.16299265,0.52171009,0.31529726
65,Stephen Strasburg,WSN,0.28390461997019373,1.452914798,0.207820419,0.469225199,0.32295438,0.091928251,0.1367713,323.0,5.327427874752177,3065.0,5752.0,8817.0,0.37134711,0.37277263,0.25588026,0.20171062,0.49964362,0.29864576
66,Robbie Ray,4 Tms,0.27920337035618537,0.863443596,0.202540834,0.369509981,0.427949183,0.094995759,0.153519932,672.0,5.355372010871161,7142.0,12247.0,19389.0,0.40896057,0.33584229,0.25519713,0.15448029,0.4781362,0.36738351
67,James Paxton,4 Tms,0.29876252209781967,1.015759312,0.201022146,0.402612152,0.396365701,0.116045845,0.127507163,439.0,5.941353332335795,3960.0,7356.0,11316.0,0.3705157,0.33688341,0.2926009,0.1603139,0.492713,0.34697309
68,Jesús Luzardo,3 Tms,0.3096993760635281,1.099415204,0.213581599,0.411829134,0.374589266,0.084795321,0.121345029,336.0,4.403883694945309,4153.0,7291.0,11444.0,0.41874323,0.32990249,0.25135428,0.15872156,0.50704225,0.33423619
69,Sean Manaea,4 Tms,0.28540925266903916,1.093466424,0.205578512,0.414944903,0.379476584,0.091651542,0.128856624,566.0,5.018719183529713,5540.0,10934.0,16474.0,0.39728814,0.36305085,0.23966102,0.15016949,0.50711864,0.34271186
70,Brady Singer,2 Tms,0.31026058631921827,1.495,0.213553979,0.471237194,0.315208825,0.08,0.12875,466.0,4.837370444411172,5234.0,9140.0,14374.0,0.39273154,0.36928488,0.23798359,0.13833529,0.52715905,0.33450567
71,Mitch Keller,PIT,0.31919034643830285,1.253303964,0.228215767,0.429271972,0.342512259,0.082599118,0.114537444,412.0,4.147651050956468,5256.0,9643.0,14899.0,0.36479401,0.35617978,0.27902622,0.15243446,0.52509363,0.32247191
72,Joe Ryan,MIN,0.26987951807228916,0.656286043,0.176133103,0.326448651,0.497418244,0.129181084,0.116493656,342.0,4.637870501293161,3513.0,7240.0,10753.0,0.40261215,0.34241908,0.25496877,0.17490062,0.51618399,0.30891539
73,Hyun Jin Ryu,2 Tms,0.2896586345381526,1.52681388,0.216625916,0.473349633,0.310024449,0.082018927,0.14511041,436.0,5.584439944742629,3838.0,7229.0,11067.0,0.43090211,0.33301344,0.23608445,0.1693858,0.50335893,0.32725528
74,Alex Cobb,5 Tms,0.3056822895064289,2.062015503,0.204270749,0.535858178,0.259871071,0.063565891,0.150387596,415.0,4.628252875615284,4728.0,8342.0,13070.0,0.43677702,0.34423614,0.21898684,0.1655365,0.49501396,0.33944954
75,Tyler Anderson,6 Tms,0.2794478527607362,0.821428571,0.214920071,0.354055654,0.431024274,0.111950549,0.116071428,600.0,4.834377822437361,6182.0,11892.0,18074.0,0.42782152,0.34033246,0.23184602,0.18606008,0.52522601,0.28871391
76,Julio Urías,LAD,0.26377187297472454,0.886297376,0.183080808,0.383838383,0.433080808,0.110787172,0.109329446,409.0,6.339265344278182,2851.0,6131.0,8982.0,0.40408416,0.34467822,0.25123762,0.2029703,0.49814356,0.29888614
77,Frankie Montas,5 Tms,0.3012948207171315,1.251040221,0.216698841,0.435328185,0.347972972,0.108183079,0.127600554,405.0,5.004576720199824,4226.0,7738.0,11964.0,0.41269084,0.35114504,0.23616412,0.16221374,0.50667939,0.33110687
78,Noah Syndergaard,5 Tms,0.3073005093378608,1.370431893,0.213340683,0.45479603,0.331863285,0.101328903,0.116279069,338.0,5.022564798841251,3124.0,6275.0,9399.0,0.41698421,0.35111595,0.23189984,0.20032662,0.51497006,0.28470332
79,Tyler Mahle,4 Tms,0.29478908188585606,1.06758448,0.209191,0.408329344,0.382479655,0.097622027,0.136420525,384.0,4.60595309324853,4735.0,8389.0,13124.0,0.37965144,0.35468676,0.2656618,0.16250589,0.51436646,0.32312765
80,Adam Wainwright,STL,0.3028169014084507,1.444697833,0.228221742,0.456083513,0.315694744,0.079817559,0.122006841,521.0,5.221603696562387,5340.0,9315.0,14655.0,0.43244207,0.34224599,0.22531194,0.15579323,0.51586453,0.32834225
81,Kenta Maeda,3 Tms,0.28533190578158457,0.980392156,0.221079691,0.385604113,0.393316195,0.116339869,0.14117647,443.0,5.573625151335577,4074.0,7613.0,11687.0,0.41742655,0.34245187,0.24012158,0.19098278,0.49746707,0.31155015
82,Paul Skenes,PIT,0.2722772277227723,1.320819112,0.176755447,0.468523002,0.354721549,0.122866894,0.078498293,181.0,4.753891218170458,1886.0,3591.0,5477.0,0.44337349,0.33975904,0.21686747,0.18795181,0.54457831,0.26746988
83,Seth Lugo,3 Tms,0.29199788023317436,1.192907801,0.208802456,0.430399181,0.360798362,0.090780141,0.120567375,354.0,4.75285932357979,3789.0,6911.0,10700.0,0.4127789,0.37221095,0.21501014,0.14959432,0.51318458,0.3372211
84,Trevor Rogers,2 Tms,0.30278884462151395,1.234972677,0.201691607,0.441119063,0.357189329,0.083788706,0.089253187,259.0,4.287553773419066,3269.0,5987.0,9256.0,0.41570142,0.35070785,0.23359073,0.16344916,0.5045045,0.33204633
85,Spencer Strider,ATL,0.3106295149638803,0.890214797,0.219704433,0.367487684,0.412807881,0.097852028,0.121718377,266.0,5.5891053238380675,2528.0,4733.0,7261.0,0.35882353,0.34705882,0.29411765,0.15490196,0.50490196,0.34019608
86,Yusei Kikuchi,4 Tms,0.30670103092783507,1.196135265,0.203852889,0.433625218,0.362521891,0.085024154,0.158454106,497.0,4.501509675759118,6077.0,10801.0,16878.0,0.41805556,0.32673611,0.25520833,0.14270833,0.49270833,0.36458333
87,Garrett Crochet,2 Tms,0.30504587155963303,1.351437699,0.188533627,0.466372657,0.345093715,0.105431309,0.143769968,176.0,4.277227781516936,1935.0,3946.0,5881.0,0.41266376,0.34825328,0.23908297,0.1768559,0.49781659,0.32532751
88,Hunter Brown,HOU,0.29817905918057663,1.608490566,0.194464675,0.496722505,0.308812818,0.103773584,0.141509433,273.0,4.674064821101318,3277.0,5514.0,8791.0,0.36647315,0.36574746,0.26777939,0.17561684,0.5341074,0.29027576
89,Lance McCullers Jr.,HOU,0.29320780094149296,2.081081081,0.178781925,0.554682383,0.26653569,0.068796068,0.132678132,336.0,5.201835078569435,3816.0,6113.0,9929.0,0.44350649,0.33311688,0.22337662,0.17077922,0.51168831,0.31753247
90,Andrew Heaney,5 Tms,0.2927875243664717,0.879786286,0.218726868,0.36565507,0.41561806,0.090828138,0.153161175,523.0,4.904828214775963,5706.0,10512.0,16218.0,0.40168129,0.33442982,0.26388889,0.15679825,0.48245614,0.36074561
91,Martín Pérez,7 Tms,0.3088895540257408,1.410233393,0.217885231,0.457617244,0.324497524,0.07989228,0.129263913,663.0,5.491104326605676,6518.0,11097.0,17615.0,0.41791045,0.35246843,0.22962113,0.15355913,0.52439724,0.32204363
92,Justin Steele,CHC,0.29793510324483774,1.512585812,0.204347826,0.478985507,0.316666666,0.084668192,0.112128146,302.0,5.50945966536848,2626.0,5179.0,7805.0,0.40527066,0.34259259,0.25213675,0.16951567,0.55413105,0.27635328
93,Hunter Greene,CIN,0.2735930735930736,0.679245283,0.192244224,0.326732673,0.481023102,0.12006861,0.12006861,223.0,4.049092214908196,3030.0,5574.0,8604.0,0.38612245,0.34857143,0.26530612,0.16244898,0.52734694,0.31020408
94,Marco Gonzales,3 Tms,0.2917131178000743,1.056127221,0.213314244,0.404080171,0.382605583,0.122544434,0.116931711,502.0,5.120514008270568,4682.0,9271.0,13953.0,0.4350142,0.33771307,0.22727273,0.18039773,0.50071023,0.31889205
95,Trevor Williams,4 Tms,0.3003636363636364,1.095774647,0.21130742,0.412367491,0.376325088,0.086384976,0.125821596,480.0,4.740307119775977,5555.0,9664.0,15219.0,0.39229969,0.34582033,0.26187999,0.16996185,0.52167881,0.30835935
96,Mike Minor,4 Tms,0.2842049656629688,0.874556213,0.2040201,0.371356783,0.424623115,0.126627218,0.134911242,371.0,4.927201157408041,3984.0,7256.0,11240.0,0.44145491,0.34628799,0.2122571,0.1793722,0.47932237,0.34130543
97,Cole Ragans,2 Tms,0.2978021978021978,1.027100271,0.198285101,0.406216505,0.395498392,0.108401084,0.092140921,181.0,4.3286095131575255,2313.0,4052.0,6365.0,0.41631356,0.3125,0.27118644,0.16737288,0.52542373,0.30720339
98,Rich Hill,8 Tms,0.2838678793681187,0.956321839,0.208372093,0.386976744,0.404651162,0.112643678,0.128735632,459.0,5.233530401189963,4280.0,8556.0,12836.0,0.43974534,0.34606639,0.21418827,0.16962256,0.49795362,0.33242383
99,Aaron Civale,5 Tms,0.28435114503816794,0.994226327,0.208524289,0.394592117,0.396883593,0.101616628,0.124711316,403.0,4.864103801567241,4380.0,7781.0,12161.0,0.4373297,0.32379655,0.23887375,0.15894641,0.51089918,0.33015441
100,Dylan Bundy,3 Tms,0.289237668161435,0.850198412,0.205029838,0.365302642,0.429667519,0.102182539,0.141865079,481.0,5.449853108863164,4416.0,8643.0,13059.0,0.42875211,0.32251265,0.24873524,0.16357504,0.50421585,0.33220911
101,Bailey Ober,MIN,0.27648428405122233,0.649553571,0.182069728,0.322080796,0.495849474,0.1171875,0.1171875,321.0,4.532949976193804,3314.0,6728.0,10042.0,0.43225453,0.33571037,0.23203511,0.17334065,0.50905101,0.31760834
102,Alex Wood,4 Tms,0.3034697048161574,1.588333333,0.218026183,0.479859013,0.302114803,0.065,0.143333333,422.0,5.491084266685412,3874.0,7432.0,11306.0,0.41001487,0.34506693,0.2449182,0.15666832,0.52503718,0.3182945
103,Jake Odorizzi,4 Tms,0.2782793414763675,0.687292817,0.216119096,0.319301848,0.464579055,0.113812154,0.110497237,399.0,5.224539306413719,4649.0,7715.0,12364.0,0.35386169,0.33417466,0.31196365,0.17314488,0.47602221,0.35083291
104,Reynaldo López,2 Tms,0.282800441014333,0.80167264,0.206315789,0.353157894,0.440526315,0.127837514,0.115890083,348.0,4.845797069410504,3853.0,6835.0,10688.0,0.37310309,0.33699634,0.28990058,0.18210361,0.48351648,0.33437991
