rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
81,Kyle Freeland,COL,15.2,46.0,89.03912884256114,104.0,110.6,10.41304347826087,1.0,0.02173913,19.0,0.41304348,2.2978724336775285,3.881033551715993
82,Cade Cavalli,WSN,19.2,60.0,86.95166727701823,100.6,111.5,9.633333333333333,3.0,0.05,18.0,0.3,4.118644400664863,4.5639157711805325
83,Cade Povich,BAL,6.2,19.0,92.54210140830592,107.1,110.2,18.94736842105263,2.0,0.10526316,8.0,0.42105263,1.350000128746045,2.1859554060359514
84,Colin Rea,CHC,11.2,36.0,88.73611111111111,99.2,106.4,11.5,1.0,0.02777778,10.0,0.27777778,1.5428572269361893,2.5372749214325863
85,Brady Singer,CIN,23.2,85.0,91.73976080101657,107.0,110.6,13.662650602409638,6.0,0.07058824,38.0,0.44705882,5.323943804994605,5.173879439329209
86,Connelly Early,BOS,25.0,67.0,91.6318192915483,106.2,111.5,10.194029850746269,7.0,0.10447761,27.0,0.40298507,2.8800001098632855,5.2728896648149295
87,Chad Patrick,MIL,16.0,48.0,90.56666564941406,105.1,116.1,25.520833333333332,4.0,0.08333333,18.0,0.375,1.1250000670552294,2.740108625197507
88,Freddy Peralta,NYM,26.2,72.0,88.71285661969866,102.3,106.5,13.542857142857143,5.0,0.06944444,30.0,0.41666667,4.050000241398826,3.8926972069163304
89,Tanner Bibee,CLE,24.1,75.0,93.34053988070102,107.8,115.6,12.256756756756756,7.0,0.09333333,42.0,0.56,4.808219429341117,4.830081063654849
90,Grant Taylor,CHW,5.0,11.0,94.92727383700284,103.0,105.7,24.09090909090909,2.0,0.18181818,8.0,0.72727273,0.0,2.6306507684835556
91,Drew Rasmussen,TBR,19.2,51.0,88.357998046875,103.9,108.1,10.52,6.0,0.11764706,20.0,0.39215686,2.74576280062927,2.7864478478523114
92,Jack Leiter,TEX,20.1,56.0,91.25454656427557,107.3,112.9,11.854545454545455,9.0,0.16071429,28.0,0.5,4.868852763495071,5.48781873151478
93,Nathan Eovaldi,TEX,26.2,84.0,91.14047531854538,107.3,112.7,10.083333333333334,6.0,0.07142857,39.0,0.46428571,5.062500120699409,4.094227034536724
94,Nick Martinez,TBR,22.0,71.0,87.4225352112676,105.3,110.1,13.901408450704226,5.0,0.07042254,23.0,0.32394366,2.454545560947139,4.651612076040797
95,Michael McGreevy,STL,27.1,85.0,87.90843255835843,107.0,116.0,12.337349397590362,12.0,0.14117647,31.0,0.36470588,3.2926830800071847,6.5921583074784404
96,MacKenzie Gore,TEX,26.0,60.0,89.83559404793432,107.5,113.0,10.728813559322035,10.0,0.16666667,29.0,0.48333333,4.153846306208329,4.699923603457145
97,Chris Sale,ATL,29.0,76.0,87.6355269582648,102.7,113.2,13.223684210526315,6.0,0.07894737,23.0,0.30263158,2.793103448275862,3.1359153520586855
98,Clay Holmes,NYM,23.0,67.0,87.87611867420709,104.0,110.3,0.6268656716417911,4.0,0.05970149,29.0,0.43283582,1.9565218202558525,4.001534029106006
99,Coleman Crow,MIL,5.1,16.0,88.5374984741211,106.2,107.7,18.5,2.0,0.125,5.0,0.3125,3.375000201165688,4.446272603679079
100,Eduardo Rodriguez,ARI,23.0,73.0,89.83150618043665,104.4,111.1,9.479452054794521,4.0,0.05479452,27.0,0.36986301,1.9565217391304348,4.168805552152327
101,Peter Lambert,HOU,5.0,13.0,90.21538837139423,107.8,114.7,7.615384615384615,2.0,0.15384615,6.0,0.46153846,7.2,4.936167785601572
102,Spencer Arrighetti,HOU,11.0,28.0,86.6107155936105,103.5,108.7,12.214285714285714,1.0,0.03571429,7.0,0.25,2.4545454545454546,5.035341488436603
