rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
53,Janson Junk,MIA,5.666666866820543,2.3333334157496353,2.42857143,0.6666666902141815,0.15454545,0.06363636,0.09090909,0.23529411764705882,1.1481481887022014,0.26506024096385544,0.65068493,90.32396647086635,91.1674390450285,106.63642337078075,3.666666796177998,3.7359014437849476,-0.06923464760694964,4.356118297808593,4.484976139612666
54,George Kirby,SEA,7.2900002780914415,2.160000082397464,3.375,1.080000041198732,0.20930233,0.0620155,0.14728682,0.225,1.0500000400543228,0.25842696629213485,0.82236842,74.57357259083007,97.18081949684765,83.63543378022125,2.9700001132965133,3.8933088588714613,-0.923308745574948,3.4915836097536004,3.482518626493283
55,Shane Baz,BAL,7.305882680820361,3.1764707307914612,2.3,0.6352941461582923,0.18253968,0.07936508,0.1031746,0.2982456140350877,1.5529412461647145,0.3595505617977528,0.69444444,121.04606938131523,89.27248909798054,104.88632483603384,5.082353169266338,3.7080147379574906,1.3743384313088476,4.39637894048164,4.4348391112181575
56,Michael King,SDP,8.457831519663053,4.554216972126259,1.85714286,0.3253012122947328,0.23214286,0.125,0.10714286,0.18085106382978725,1.1204819534596353,0.23880597014925373,0.80357143,59.07404677584132,90.73618128435008,111.74062304087128,2.2771084860631294,3.6854775174191188,-1.4083690313559893,4.561270080039846,4.422051706975351
57,Paul Skenes,PIT,9.409091342456104,2.863636495530119,3.28571429,0.8181818558657482,0.26136364,0.07954545,0.18181818,0.16455696202531644,0.9090909509619425,0.2037037037037037,0.72916667,80.18771404811514,84.72687836807454,93.95961606825398,3.272727423462993,3.4614906630979103,-0.18876323963491748,3.8466026481064746,3.5240603250503533
58,Luis Castillo,SEA,8.871429054883087,3.471428760606426,2.55555556,0.7714286134680947,0.21100917,0.08256881,0.12844037,0.31313131313131315,1.714285807706877,0.3918918918918919,0.62827225,125.90343630261644,89.2980527264011,94.04960462099051,5.014285987542615,3.57188028218795,1.4424057053546648,3.934985871116886,4.07184292595536
59,David Peterson,NYM,9.610169802202444,4.576271334382117,2.1,0.45762713343821165,0.21649485,0.10309278,0.11340206,0.3023255813953488,1.8305085337528466,0.390625,0.61797753,165.45109234685788,82.02526991823608,89.49781216648748,6.406779868134963,3.34669866734488,3.060081200790083,3.6672705134767334,3.938031067117805
60,Peter Lambert,HOU,13.090909090909092,3.272727272727273,4.0,0.0,0.33333333,0.08333333,0.25,0.23809523809523808,1.2727272727272727,0.38461538461538464,0.75,77.26711637507584,45.77657314515633,63.228188430339976,3.272727272727273,1.870581557533958,1.402145715193315,2.622708029096777,2.677580084288533
61,Emerson Hancock,SEA,8.790697869382855,1.255813981340408,7.0,1.5697674766755099,0.26666667,0.03809524,0.22857143,0.21,0.8720930425975055,0.23880597014925373,0.89473684,70.9473723678665,99.31955438588159,73.49667208932044,2.8255814580159178,3.9805181511548358,-1.154936693138918,3.05990739376819,2.9855470128205845
62,Kris Bubic,KCR,9.104651364717958,4.081395439356326,2.23076923,0.9418604860053059,0.25663717,0.11504425,0.14159292,0.19,1.1162790945248071,0.23529411764705882,0.68345324,93.00934025994343,92.1229005173055,97.17029254519173,4.081395439356326,3.840983264339235,0.2404121750170911,4.067854834355222,4.051870804445466
