rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
62,Walker Buehler,SDP,17.2,89.85234042553192,93.09466666666667,90.61233333333332,,98.14915360501568,,84.07666666666667,109.52538461538461,,94.61451368619258,96.43688855567052,91.44172853665096
63,Max Meyer,MIA,19.2,92.0822857142857,96.93021276595744,,,98.27795454545453,,88.24173913043478,,,95.44991150442478,108.51775811209438,104.76495575221239
64,Shane McClanahan,TBR,18.0,79.57119047619048,,,,109.01375000000002,99.07666666666665,132.82508474576272,,,103.44598150820374,78.6368809791032,84.47651328095773
65,Andrew Abbott,CIN,24.2,92.54962962962962,,84.83333333333333,,117.93758620689655,94.54901960784314,80.32173913043479,,,92.47404651162792,94.65116279069767,89.02344186046513
66,Jack Flaherty,DET,20.0,110.16819875776396,76.75500000000001,,,84.07252747252745,,78.99333333333334,101.98457142857143,,98.57903512228361,89.73736574725584,92.35722289540345
67,Gavin Williams,CLE,29.2,108.51106060606061,103.49433333333334,76.07353846153848,,109.44671875,121.16880952380953,,,,105.92933901918977,102.91914712153519,107.31006396588485
68,Matthew Boyd,CHC,9.1,91.43333333333332,,,,120.54,99.78857142857143,94.22105263157894,,,94.74869565217392,119.03416149068323,110.83031055900621
69,Aaron Civale,ATH,20.1,88.36742857142856,83.13853658536586,97.91033333333334,72.01,89.35444444444445,109.99945945945946,,,,93.85963360512712,112.19520468810754,106.14229967419224
70,Andrew Painter,PHI,13.1,87.02571428571427,77.42275862068966,,85.68,109.76863636363636,123.799,,,,96.53523895946762,114.73516636418633,114.29868118572293
71,Yusei Kikuchi,LAA,24.0,111.65104000000001,122.6,80.50148148148148,100.25611111111112,85.88326086956522,90.47116279069768,,,,97.10479190000447,111.02060301957799,111.29162492719861
72,Zac Gallen,ARI,25.2,92.81691358024692,88.77545454545454,,,79.24057692307692,,81.716,101.95204819277107,,90.00726497071503,106.89508160170885,100.29687203249352
73,Janson Junk,MIA,22.0,97.34174757281554,90.03999999999999,,,105.45152777777778,96.40758620689654,109.5063888888889,,,102.91601755786112,108.29483411241593,109.55361532322426
74,Connelly Early,BOS,19.2,100.24453781512605,96.86166666666666,,,90.8628545941124,103.99056603773585,103.64342105263158,,,99.47782742431602,92.35885057471265,92.63868674113648
75,Jack Kochanowicz,LAA,23.1,83.27407407407406,102.46412213740457,,,94.21898305084744,,97.66138613861385,,,95.67055712024414,100.03409594670393,98.48170313777499
76,Walbert Urena,LAA,6.0,,,,,,,,,,,,
77,Grant Holmes,ATL,26.1,80.17154471544715,92.08400000000002,82.49600000000001,,98.90091603053435,93.7544,80.46400000000001,,,89.9002896763505,95.17149164238174,87.53196905353862
78,Lance McCullers Jr.,HOU,20.1,77.58666666666667,90.55221052631578,92.976,,116.04346153846154,,89.63162790697675,108.67162790697675,,96.78255072463767,102.54185507246378,102.06313043478261
79,Kyle Freeland,COL,15.2,95.78769230769231,95.00285714285714,94.4521052631579,,101.62550000000002,,77.01567567567568,94.17523809523809,,93.31082976744187,100.52130976744185,93.42506976744187
80,Cade Povich,BAL,6.2,108.98,107.97999999999999,,,97.3,110.42,101.12,,,106.71793814432989,110.85628865979383,109.39814432989692
81,Shane Baz,BAL,22.0,101.68466165413534,78.42,95.76697674418604,,,,69.7572972972973,106.54478632478633,,98.6235294117647,97.4933155080214,100.09363636363638
82,Cade Cavalli,WSN,19.2,97.40880597014926,99.94084507042254,83.56,,112.366,,90.15885714285716,101.16090909090912,,100.16328418686491,90.00356612589678,90.90797241529434
83,Dustin May,STL,19.1,99.20652173913044,109.80763636363636,87.22478260869566,,115.03999999999999,103.6512,94.35478260869564,,,102.74535294117648,99.5120399419027,101.07637327523602
84,Justin Wrobleski,LAD,13.0,90.96449438202248,115.82,79.44,,100.88774193548386,80.1290909090909,105.42,,,94.08668507560814,110.06804996712688,103.19449835634452
85,Brady Singer,CIN,23.2,89.876,100.0996319018405,74.74428571428572,,85.99413793103449,,,,,93.11514563106797,99.85896440129449,91.0398705501618
86,Chad Patrick,MIL,16.0,92.884,90.64117647058823,96.67444444444445,,,92.81096774193549,86.28999999999999,,,93.65783777638833,95.51439890865686,92.53957483089866
87,Michael McGreevy,STL,21.2,70.58200000000001,78.52814814814816,81.09720930232558,,82.11333333333333,77.38486486486487,73.85038961038961,,,76.1353581661891,113.95999999999998,94.52876790830946
88,Freddy Peralta,NYM,26.2,100.99008547008548,,,,98.92171428571427,109.91789473684211,94.14557692307692,,,99.7981773962804,106.2195649022413,106.16331936099188
89,Grant Taylor,CHW,5.0,117.04352941176472,125.524,,,114.82615384615384,112.26444444444445,,,,116.90167447306793,118.01175644028103,131.90839578454333
90,Tanner Bibee,CLE,24.1,89.59243697478992,99.06555555555555,107.73266666666667,,98.725,95.5632,112.92337662337663,,,101.14604279390065,102.76063010329563,102.02296507624202
91,Drew Rasmussen,TBR,19.2,103.82891566265059,99.59290322580647,102.05818181818181,,120.04,87.14666666666666,103.58608695652173,,,102.12964541679807,120.14523099968466,118.02409130663304
92,Nick Martinez,TBR,22.0,90.48195121951218,101.61374999999998,85.7296875,,94.90875,86.8304,119.21725490196079,,,101.14793873517787,106.45496969696968,106.88540777338604
93,Jack Leiter,TEX,20.1,108.66579710144929,102.9136,88.27400000000002,,105.8803125,90.10733333333333,106.94795454545455,,,104.29135999999998,98.58682666666667,104.50053333333332
94,Nathan Eovaldi,TEX,26.2,83.97543859649123,95.88,99.0140594059406,92.17739644970413,98.556,102.67558441558441,,,,94.87361025145067,109.54396131528047,106.78485396518376
95,Clay Holmes,NYM,23.0,75.03999999999999,99.8044,95.77499999999999,,99.0584328358209,125.7776923076923,95.82928571428572,,,99.85177179624148,103.22201571018938,100.20773229786609
96,Coleman Crow,MIL,5.1,105.54,102.71999999999998,90.44,,118.5,116.64,,,,104.71684210526315,115.40368421052632,115.86789473684212
97,Chris Sale,ATL,29.0,108.27707602339181,120.84941176470589,,,123.92917525773197,,91.96418604651163,,,114.5271040723982,111.06470588235294,120.07239819004523
98,Peter Lambert,HOU,5.0,105.12,88.08,80.22,,101.3,109.53999999999999,80.98,,,94.77888888888889,95.35822222222222,87.04777777777777
99,MacKenzie Gore,TEX,26.0,97.41027397260275,112.28181818181817,98.25703703703702,,103.41941176470588,110.47285714285715,89.45463414634148,,,101.04282971872912,103.60687017799648,103.19363708158679
100,Spencer Arrighetti,HOU,6.0,98.54,98.14,92.94,,93.24,113.18,73.03999999999999,,,100.2642,87.10979999999999,89.1082
101,Eduardo Rodriguez,ARI,23.0,90.13818181818183,97.21333333333332,91.15925925925927,,,88.63882352941175,84.78453125,,,88.6578297897898,101.6734944144144,94.17498462462463
102,Kyle Harrison,MIL,14.2,108.52232876712327,85.7875,,,,103.11764705882354,109.86258064516129,,,106.26170448994093,114.7783798907492,115.63067016032332
103,Robbie Ray,SFG,28.1,109.34933333333333,,,,102.68950819672132,,87.14629629629628,92.19749999999999,,102.68248379211394,93.90705973004569,93.72978159209268
104,Jacob Latz,TEX,4.0,97.86,,,,92.54,110.05999999999999,106.43999999999998,,,98.23205882352941,122.84264705882354,121.63647058823528
105,Aaron Ashby,MIL,2.1,,126.5,,,137.01999999999998,107.22,127.6,,,124.71818181818183,112.5290909090909,138.34136363636364
106,Foster Griffin,WSN,20.2,93.98067796610171,95.30411764705883,95.83274336283186,117.77103448275862,105.74954545454544,94.42124999999999,87.71076923076923,,,97.44260673379704,102.42720661614591,101.69796543517462
107,Noah Schultz,CHW,9.1,110.4,86.54,102.61999999999999,,128.9177777777778,,80.72,,,105.27185185185186,89.69925925925926,89.97037037037039
108,Mike Burrows,HOU,26.2,94.61431818181819,92.80666666666666,,,95.19638888888886,96.98097560975609,88.15285714285714,,,92.52861554231532,96.25357422000128,92.05391568966621
