rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
148,Shane Smith,CHW,0.4074074074074074,1.2,0.185185185,0.444444444,0.37037037,0.0,0.1,3.0,3.2400004943848413,87.0,138.0,225.0,0.2962963,0.48148148,0.22222222,0.2962963,0.48148148,0.22222222
149,Mike Burrows,HOU,0.3888888888888889,0.882352941,0.168831168,0.389610389,0.441558441,0.088235294,0.147058823,10.0,4.090909268245232,122.0,241.0,363.0,0.41558442,0.32467532,0.25974026,0.15584416,0.44155844,0.4025974
150,Kodai Senga,NYM,0.41304347826086957,0.636363636,0.265306122,0.285714285,0.448979591,0.045454545,0.181818181,5.0,2.5961540366065714,130.0,188.0,318.0,0.38,0.36,0.26,0.1,0.6,0.3
151,Brayan Bello,BOS,0.3269230769230769,2.583333333,0.173076923,0.596153846,0.23076923,0.083333333,0.166666666,11.0,6.750000731511629,103.0,169.0,272.0,0.42592593,0.31481481,0.25925926,0.11111111,0.72222222,0.16666667
152,Cole Ragans,KCR,0.2631578947368421,1.117647058,0.121951219,0.463414634,0.414634146,0.0,0.176470588,1.0,0.5400000225305567,113.0,177.0,290.0,0.46341463,0.36585366,0.17073171,0.04878049,0.6097561,0.34146341
153,PJ Poulin,WSN,0.25,1.5,0.0,0.6,0.4,0.0,0.5,3.0,13.5,11.0,23.0,34.0,0.8,0.0,0.2,0.2,0.2,0.6
154,Jacob Lopez,ATH,0.2962962962962963,0.655172413,0.157894736,0.333333333,0.508771929,0.206896551,0.103448275,10.0,4.909090994212255,159.0,205.0,364.0,0.31578947,0.38596491,0.29824561,0.24561404,0.49122807,0.26315789
155,Chris Bassitt,BAL,0.36065573770491804,1.611111111,0.229508196,0.475409836,0.295081967,0.111111111,0.055555555,5.0,2.8125001676380736,145.0,206.0,351.0,0.25806452,0.41935484,0.32258065,0.17741935,0.56451613,0.25806452
156,Eric Lauer,TOR,0.24242424242424243,0.55,0.138888888,0.305555555,0.555555555,0.25,0.15,7.0,4.973684460172375,94.0,137.0,231.0,0.47222222,0.30555556,0.22222222,0.19444444,0.47222222,0.33333333
157,Brandon Pfaadt,ARI,0.2692307692307692,1.45,0.109090909,0.527272727,0.363636363,0.05,0.15,6.0,3.240000123596196,95.0,170.0,265.0,0.43636364,0.25454545,0.30909091,0.14545455,0.54545455,0.30909091
158,Brandon Williamson,CIN,0.2,0.545454545,0.19047619,0.285714285,0.523809523,0.09090909,0.09090909,9.0,3.9193551401442206,162.0,211.0,373.0,0.36507937,0.38095238,0.25396825,0.15873016,0.52380952,0.31746032
159,Javier Assad,CHC,0.30303030303030304,1.153846153,0.2,0.428571428,0.371428571,0.0,0.153846153,7.0,6.300000600814877,61.0,101.0,162.0,0.22857143,0.51428571,0.25714286,0.14285714,0.57142857,0.28571429
160,Ryan Feltner,COL,0.3157894736842105,0.94117647,0.195121951,0.390243902,0.414634146,0.117647058,0.176470588,12.0,8.756756982462006,75.0,124.0,199.0,0.31707317,0.43902439,0.24390244,0.12195122,0.51219512,0.36585366
161,Justin Verlander,DET,0.3333333333333333,0.428571428,0.375,0.1875,0.4375,0.142857142,0.142857142,0.0,0.0,27.0,53.0,80.0,0.625,0.1875,0.1875,0.125,0.25,0.625
