rank,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
72,Connelly Early,BOS,19.2,103.4028233238856,114.6640959284326,90.17889882860854,43.706838091591436,104.21773821887967,115.56776492542905,88.41463517461912,94.76054868945938,95.21468013603139,120.19309363550778,52.00956523363367,86.21979212593521,104.03892812290985,120.44384276344464,92.35767487136057,98.12623573395815
73,Ryan Weathers,NYY,21.0,135.5725923541892,75.16868609223044,180.35779765721708,163.72720515216125,136.177844611839,75.50427235977263,112.48898161975636,102.94304820903166,122.41887446061179,113.56239447313922,102.64437925123566,93.12021036282341,67.26118381634325,164.3091930281133,75.59646713481395,94.49193076346968
74,Jack Kochanowicz,LAA,23.1,78.43842914592108,144.96818163742006,54.107339297165126,36.838621493827226,79.58445431357549,147.08624582746913,70.73170813969529,92.6487442296212,69.37069552768001,96.28116063190969,81.25243766167426,96.75179887219369,114.18130307263976,48.17753710537786,140.38366588130967,82.42603812878127
75,Lance McCullers Jr.,HOU,20.1,105.01319340945247,99.8141539697705,105.2087152850135,84.54765260180915,106.88377320142502,101.59212750982438,101.85365972116121,98.98593543757345,106.72414696566155,80.07312261950145,147.59088885890216,95.93368761364657,95.67791102495512,106.31771304373392,106.7244243598291,89.76733409773209
76,Jacob Misiorowski,MIL,21.2,162.28230076062917,103.62844340104131,156.60014609934706,164.29979524126105,170.00191646988006,108.55795049971783,71.73457951981773,78.31623702412612,79.1275844537074,120.51829867757493,84.34962304507722,98.47276409608594,67.11448821542037,84.08632974450171,99.39775005378735,108.69498117911856
77,Cade Cavalli,WSN,19.2,97.51941533831852,152.22258006333297,64.06369614319902,0.0,87.74292458574403,136.96200236091116,119.84060917807815,133.3427524905498,128.9486561467824,89.9001362613946,103.7704204521697,87.79692262598664,121.51486247642835,132.1356611025802,99.7465142013291,84.13796675428988
78,Kyle Freeland,COL,15.2,88.41298883545494,63.69597065499353,138.8046749769312,56.80578090797176,87.96119027296895,63.3704781656531,93.61970547501636,83.69385191895057,93.78084083402358,120.21085398470355,50.890336980205234,89.57175095156705,102.11000312808598,114.90057468796795,115.09213185929677,75.08880326666036
79,Dustin May,STL,19.1,82.66731515168418,51.6156991123938,160.15924035799753,92.06453924917372,80.9532932980352,50.545500239469874,147.077111264005,123.67336643238028,144.13039062606083,78.01764036473257,179.78404853879255,96.80583551880684,102.17370362800575,110.82345751139084,96.52888462186007,98.56569955226048
80,Grant Holmes,ATL,21.2,83.599973119112,115.14271489004591,72.60552229562555,82.14989762063053,87.57674476569487,120.61994464586799,76.26220584059519,85.43589493541029,71.52775995815358,104.60078756024534,83.31403084318067,104.14163212472012,111.88268147674604,95.31096821359527,94.33781286735065,108.89296826612936
81,Cade Povich,BAL,6.2,76.25958700873115,0.0,,0.0,91.19052083209111,0.0,88.41463517461912,55.90872725123872,91.27723095747369,111.88884352978181,32.43637767832027,40.38578203253188,84.18397274635927,82.40894488385477,88.46893065613992,120.85020617353604
82,Shane Baz,BAL,22.0,87.81406532087684,82.00220284043452,107.08744235897265,78.14252957040915,85.73789159978867,80.06344051933293,126.82926976772949,115.20585622182591,126.12853732305456,101.10437664646616,117.9504581491828,95.65575793194935,102.65525129894209,145.83151562048678,88.28307151171116,90.04525163870308
83,Justin Wrobleski,LAD,13.0,32.78430222194863,76.76180767421215,42.70913076213268,0.0,39.420733918808985,92.30047911351454,40.46566024194846,47.464384682441306,37.01875296079878,121.27153809888196,17.529199227564547,81.95138894206119,124.24118583245374,41.72705065195474,121.14961237443562,104.88112218571617
84,Chad Patrick,MIL,16.0,59.933806071833054,93.55345867916672,64.06369614319902,55.622328197145876,64.76263445709277,101.09100154039525,89.45040685062293,86.7708334195327,82.30765285964836,133.58654789670334,28.555862832509366,96.85833243988009,132.8045270466679,66.0678305512901,76.72808782946974,143.92020641609002
85,Michael McGreevy,STL,21.2,59.01174573113788,34.54281446701376,170.83652304853072,123.22484643094577,66.34221111734945,38.83373758757904,80.67520871021372,64.07692120155774,65.93965371142284,120.51829867757493,64.16907661400947,106.63720025357894,105.51997570250735,86.77565778507707,92.76082254827293,115.00397655756352
86,Freddy Peralta,NYM,26.2,111.87643800075504,93.55345867916671,119.58556613397148,133.4935876731501,113.33461097992003,94.7728138777796,80.7289921826872,83.87847230554829,77.57606318990922,103.67420579008876,105.52657782731491,107.41256200126924,92.80348925186897,113.25913793691369,92.07370548743742,102.48383923044393
87,Grant Taylor,CHW,5.0,101.67943964806692,0.0,,0.0,136.78578146699388,0.0,26.52439055238573,14.908992511831201,31.53213433076364,139.86105441222725,0.0,27.50895887185294,73.9683751219218,47.44757410564588,65.4899875661997,162.3543174722692
88,Tanner Bibee,CLE,24.1,96.10796852519756,83.40635089227102,115.2285929226168,141.29882185165886,94.08816368838886,81.65348576190054,121.25435681090619,113.34919556793399,117.24624596227606,106.9001689507735,115.22399471474567,109.15964775910797,89.3572213021759,112.84828537500854,110.32997923685035,82.74428531720048
89,Drew Rasmussen,TBR,19.2,103.4028233238856,34.39922877852978,300.59632939863553,174.82735236636574,118.30121628558538,39.35550862776981,59.77327448424954,49.27548531851887,44.279167358093616,113.40085481543206,64.4554064515244,99.2676738616992,73.16887859831228,62.63079844576055,110.4597793228829,107.15384959292847
90,Jack Leiter,TEX,20.1,120.01508381118083,99.8141586512558,120.23853174141843,126.82148485089708,116.72386656002513,97.07692257619117,111.40244032002006,109.98437786690403,117.79929429228679,104.37392110295572,116.93756328623104,99.43198885571917,88.39975345434716,104.38466407626758,100.41798115896081,97.4125903302846
91,Nick Martinez,TBR,22.0,64.70510076275134,71.75192748538021,90.17889882860854,117.21379435561371,66.60872834750509,73.86287536670064,99.85652913839334,91.48700347027352,86.7133694096,128.8193921408161,57.61922761440819,108.27622107797934,109.66473843730644,95.56342457186456,101.4633612243647,100.6139432330314
92,Clay Holmes,NYM,23.0,74.12103418385459,97.62099858997149,75.92734354390656,77.3875856530456,77.99371044065795,102.72150123995559,81.90639663430534,83.83655250769326,75.74606375055751,125.45331516478448,50.9790221801958,103.45910343799788,99.99784898566143,86.77565778507707,133.98785494540596,67.41612425305075
93,Chris Sale,ATL,29.0,106.54898222133305,60.218314640976764,176.9378274065133,153.44089622564624,114.3201293165568,64.61033569789684,89.02445253228663,77.12962510896713,84.20462821364792,127.50836005825306,70.0268773176445,110.8099633593474,90.53732047245794,76.49959321427879,99.94843022617319,111.87319687410447
94,Nathan Eovaldi,TEX,26.2,110.57639325361943,67.65181602367616,163.449254126853,161.16896409504983,104.04688949496865,63.65699793318967,123.93697532442182,114.61288266728641,122.93540979588862,99.90075311163059,121.58848439398666,105.13000964873869,79.9449687672855,86.98721971560744,125.7823572126186,78.96825636908646
