rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
23,Yoshinobu Yamamoto,LAD,2.0,2.0,0.0,5.0,5.0,32.2,7.714285864426863,1.3775510472190826,0.8265306283314496,0.2441860465116279,0.81395349,0.390804597,0.078947368,95.62904473312763,2.479591884994349,3.5113363235422455,3.171906915598738,3.5744235492544054,0.7841628893578508
24,Shohei Ohtani,LAD,2.0,0.0,0.0,3.0,3.0,18.0,9.0,3.0,0.0,0.1590909090909091,0.85714286,0.5,0.0,97.8160410823985,0.5,2.2997878574201707,2.307961336771647,3.604059143116077,0.7210905570852811
25,Rhett Lowder,CIN,3.0,1.0,0.0,5.0,5.0,29.0,5.586207080255939,2.7931035401279694,0.31034483779199656,0.25555555555555554,0.69620253,0.406593406,0.026315789,93.14488329206195,3.1034483779199658,3.9653509756345016,3.279225709123646,4.629187010190153,0.6744874114478547
26,Framber Valdez,DET,2.0,1.0,0.0,5.0,5.0,30.0,6.0,2.7,0.3,0.2708333333333333,0.70224719,0.536082474,0.035714285,,3.3,3.263681215335896,3.2412946701049807,4.088810933629672,0.6738881608766749
27,Carmen Mlodzinski,PIT,0.0,1.0,0.0,4.0,4.0,18.2,10.125000862138686,3.857143185576642,0.0,0.4107142857142857,0.70967742,0.464285714,0.0,95.19065638950893,4.339286083773723,3.654974025918559,2.17700887371082,3.2062631016836365,0.6665498014141527
28,Mitch Keller,PIT,2.0,1.0,0.0,5.0,5.0,29.0,5.896551724137931,2.793103448275862,0.3103448275862069,0.25882352941176473,0.75949367,0.395348837,0.034482758,93.47905092592593,2.793103448275862,3.502853641109482,3.313708463208429,4.237771454915919,0.6642585782813516
29,Bryce Elder,ATL,3.0,1.0,0.0,5.0,5.0,30.0,8.700000553131138,2.700000171661388,0.6000000381469751,0.23684210526315788,0.81560284,0.441558441,0.068965517,92.59549044579575,1.5000000953674377,2.6788038960102405,3.17462800555759,3.634555593449572,0.660981996086857
30,Bailey Ober,MIN,2.0,0.0,0.0,5.0,5.0,26.0,8.307692612416657,3.1153847296562462,0.6923077177013881,0.28,0.66225166,0.337662337,0.0625,89.73444112141927,4.153846306208329,3.9063786388910495,3.4489869890833753,4.13801944977411,0.6369583027684305
31,Ryan Weathers,NYY,1.0,2.0,0.0,5.0,5.0,28.1,11.435294630849262,2.541176584633169,1.2705882923165845,0.3382352941176471,0.85034014,0.38028169,0.153846153,96.26495992726294,3.1764707307914612,4.617794753674986,3.2824711470290455,2.7064997164103026,0.6343142061169398
32,Michael Wacha,KCR,2.0,0.0,0.0,4.0,4.0,27.0,7.666666666666667,2.6666666666666665,0.6666666666666666,0.171875,0.98958333,0.359375,0.066666666,93.2725124534117,1.0,3.4590722246602086,3.4005539293642397,3.9624119150417823,0.6194739917335078
33,Casey Mize,DET,1.0,1.0,0.0,4.0,4.0,22.2,9.926471284310347,2.779411959606897,0.7941177027448277,0.3050847457627119,0.83333333,0.344262295,0.068965517,93.989732421875,2.779411959606897,3.6187749024126457,3.1412946701049806,3.750022363946031,0.589524370823697
34,Trevor Rogers,BAL,2.0,2.0,0.0,5.0,5.0,28.2,7.84883738337755,2.511627962680816,0.9418604860053059,0.3176470588235294,0.7183908,0.386363636,0.078947368,92.60555786132812,4.081395439356326,3.393556947011348,3.699434217367384,4.158115963941592,0.5885931834642414
35,Will Warren,NYY,2.0,0.0,0.0,5.0,5.0,25.1,11.01315886211536,2.1315791346029727,1.0657895673014863,0.296875,0.72580645,0.507462686,0.136363636,94.06543756300404,2.4868423237034682,3.6604407837697504,3.062347294749315,2.714641531960626,0.5851696068559462
36,Mick Abel,MIN,1.0,1.0,0.0,3.0,3.0,17.0,10.058823529411764,3.176470588235294,0.0,0.3111111111111111,0.82608696,0.441860465,0.0,95.75162980363176,2.1176470588235294,3.9860439557202656,2.494235846575569,3.866574700352024,0.5783539796123942
37,Davis Martin,CHW,3.0,1.0,0.0,4.0,4.0,25.0,6.84,2.16,0.72,0.25757575757575757,0.86206897,0.343283582,0.068965517,94.06623787715517,2.16,4.750790945919264,3.5012946701049805,4.053207740485668,0.5756219940612779
