rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
122,Robbie Ray,SFG,22.1,93.58888888888889,,,,,,84.94262295081967,,78.43437385559082,,85.22037082248264,,
123,Colin Rea,CHC,5.0,94.03225806451613,,86.4,88.15384615384616,,92.3375015258789,83.93333604600694,79.05000305175781,,,,,
124,Zach Pop,PHI,2.0,,,95.08333333333333,,,96.19523693266369,87.09000244140626,,,,,,
125,Noah Schultz,CHW,4.1,97.1590909090909,,90.60624694824219,,,96.53749593098958,83.25555419921875,,,,91.80000305175781,,
126,Mason Montgomery,PIT,1.0,98.05714634486607,,,,,,90.1500015258789,,,,,,
127,Riley Martin,CHC,1.0,94.33333333333333,,,,,,89.0999984741211,85.0999984741211,,,,,
128,Ryne Nelson,ARI,20.1,95.85571521577381,,90.3368417840255,,,,87.99571358816964,79.79285757882255,,,,,
129,Cole Sulser,TBR,2.0,91.86666531032986,,87.27143205915179,,,,,,,,83.45454545454545,,
130,Cade Horton,CHC,7.1,95.47777777777777,,,,,95.78571428571429,83.75454434481534,84.17500305175781,,,88.94737002724095,,
131,Cody Bolton,HOU,5.1,94.3521728515625,,90.28055487738715,,,94.48461444561298,80.97999725341796,80.32857186453683,,,89.83845872145433,,
132,Jordan Leasure,CHW,1.1,96.21666463216145,,,,,,87.87778049045139,,,,,,
133,Zach Eflin,BAL,3.2,91.85714285714286,,88.21818403764205,,,92.17857142857143,78.89999825613839,78.713330078125,,,87.9105288856908,,
134,Mason Fluharty,TOR,1.0,,,90.72999877929688,,,,82.82499694824219,,,,88.25,,
135,Tomoyuki Sugano,COL,16.2,92.83650716145833,,89.02857026599702,87.80425635804521,,92.87272782759233,84.34666680230035,79.83333206176758,,,,,
136,Martín Pérez,ATL,10.0,90.22727272727273,,86.93684146278783,,,89.97500375600961,,76.6187515258789,,,82.80454600941052,,
137,Patrick Corbin,TOR,9.2,91.01333669026693,,85.72609014096467,,,91.08809407552083,79.0499994187128,65.55000305175781,,,79.71764777688419,,
138,Slade Cecconi,CLE,19.2,92.84736805392387,,86.84945108602335,,,92.80810711834881,81.06923029972957,73.7952386765253,,,,,
139,Simeon Woods Richardson,MIN,20.2,92.67770468222129,,,86.92183851921695,,,85.76385718655874,77.05384709284856,,,,,
140,Chris Paddack,MIA,14.2,93.17922141335227,,86.15749816894531,,,92.88461538461539,79.64102407602164,76.96922889122597,,,85.12033856925318,,
141,Kyle Leahy,STL,14.0,93.52073111185213,,,,,93.51891924883869,86.60819632108094,81.68055725097656,,,87.6483882780998,,
142,Jimmy Herget,COL,2.0,91.60000228881836,,,,,91.29999889026989,81.68420731393914,,,,85.0,,
143,Andre Pallante,STL,15.0,94.69047619047619,,,87.41875171661377,,94.4460009765625,87.04615353315305,,77.13023199037065,,,,
144,Shane Drohan,MIL,2.2,93.40713936941964,,88.43684467516448,,,92.69999694824219,82.1800048828125,77.4000015258789,,,83.34000244140626,,
145,Shane Smith,CHW,8.1,95.28378378378379,,,,,96.35937881469727,90.51999755859374,82.41132138810067,,,90.26341433641387,,
146,Mike Burrows,HOU,22.0,94.88636502352628,,,,,94.35624885559082,89.78888871934679,80.43414678806212,,,86.84592110770089,,
147,Brayan Bello,BOS,14.2,92.97142573765346,,86.82794009937959,,,94.12521654211956,84.87857273646763,83.55217444378397,,,87.89677379977319,,
148,Cole Ragans,KCR,16.2,94.43082459332192,,89.58947593287418,,,,85.20666707356771,,78.0499986921038,,83.96153904841496,,
149,PJ Poulin,WSN,2.0,90.57999877929687,,,,,89.19999796549479,79.82000122070312,,,,80.8499984741211,,
150,Bubba Chandler,PIT,14.0,99.0398699193219,,,,,,89.19215782015931,87.38000030517578,,,92.54130487856658,,
151,Jacob Lopez,ATH,18.1,90.40086206896552,,86.517333984375,,,89.81818251176314,77.65058737362132,,,,82.90909160267223,,
152,Eric Lauer,TOR,12.2,90.21470731847427,,86.03513480521538,,,,82.375,74.36315757349918,,,82.76444498697917,,
153,Zack Littell,WSN,10.0,91.12368292557566,,,83.30434782608695,,90.75789602179276,83.97213194800204,,,,,,
154,Justin Verlander,DET,3.2,93.1970573874081,,,,,,87.0,79.19285365513393,,,83.5250015258789,,
155,Ryan Feltner,COL,12.1,95.24772782759233,,,,,94.59499969482422,87.80281518210828,80.35999857584635,,,85.8103448275862,,
156,Javier Assad,CHC,10.0,93.26000162760417,,87.10277981228299,,,93.04857352120536,81.23749923706055,78.5,,,86.27619280133929,,
157,Luinder Avila,KCR,3.0,95.63333129882812,,,,,95.5956500509511,86.27272727272727,82.17857142857143,,,89.30000305175781,,
158,Brandon Pfaadt,ARI,16.2,92.81481594509549,,90.06956548276155,,,93.02769118088942,83.47499923706054,81.30677924721928,,,86.37499891008649,,
